price,room_count,toilet_count,size,heating_type,building_age,building_type,neighborhood,floor
21.250.000,2 + 1,2,/ 80 m2,Merkezi (Pay Ölçer),3,Residence,Şişli,9. Kat
26.000.000,2 + 1,2,/ 85 m2,Merkezi (Pay Ölçer),2,Residence,Şişli,21 ve üzeri
54.000.000,3 + 1,3,/ 212 m2,Merkezi (Pay Ölçer),9,Residence,Beşiktaş,6. Kat
68.000.000,4 + 1,3,/ 280 m2,Merkezi (Pay Ölçer),15,Residence,Beşiktaş,21 ve üzeri
85.000.000,2 + 1,2,/ 130 m2,Merkezi (Pay Ölçer),6,Residence,Beşiktaş,3. Kat
115.000.000,4 + 1,4,/ 370 m2,Merkezi (Pay Ölçer),10,Daire,Beşiktaş,18. Kat
165.000.000,3 + 1,3,/ 230 m2,Merkezi (Pay Ölçer),6,Residence,Beşiktaş,9. Kat
160.000.000,4 + 1,4,/ 223 m2,Merkezi (Pay Ölçer),5,Residence,Beşiktaş,5. Kat
8.500.000,4 + 1,2,/ 120 m2,Kombi,Sıfır,Daire,Maltepe,4. Kat
3.650.000,3 + 1,1,/ 110 m2,Kombi,28,Daire,Maltepe,11. Kat
12.250.000,3 + 1,1,/ 115 m2,Kombi,6,Daire,Maltepe,4. Kat
6.950.000,2 + 1,1,/ 80 m2,Kombi,6,Daire,Maltepe,4. Kat
85.000.000,2,N/A,N/A,Elektrik,Merkezi,Daire,Beşiktaş,5 Yaşında
99.000.000,2 + 1,2,/ 165 m2,Merkezi (Pay Ölçer),3,Residence,Beşiktaş,15. Kat
55.000.000,4 + 1,3,/ 230 m2,Merkezi (Pay Ölçer),8,Residence,Beşiktaş,15. Kat
13.500.000,1 + 1,1,/ 80 m2,Merkezi (Pay Ölçer),4,Residence,Beşiktaş,17. Kat
16.500.000,1 + 1,1,/ 100 m2,Merkezi (Pay Ölçer),10,Residence,Şişli,12. Kat
22.000.000,1 + 1,2,/ 120 m2,Merkezi,2,Daire,Şişli,20. Kat
12.000.000,1 + 1,1,/ 85 m2,Merkezi (Pay Ölçer),10,Residence,Beşiktaş,4. Kat
125.000.000,3 + 1,3,/ 220 m2,Merkezi (Pay Ölçer),12,Residence,Beşiktaş,7. Kat
110.500.000,2 + 1,2,/ 165 m2,Merkezi (Pay Ölçer),18,Residence,Şişli,21 ve üzeri
90.000.000,2 + 1,2,/ 140 m2,Merkezi (Pay Ölçer),4,Residence,Beşiktaş,18. Kat
78.000.000,3 + 1,3,/ 160 m2,Merkezi (Pay Ölçer),Sıfır,Residence,Beşiktaş,21 ve üzeri
13.500.000,1 + 1,1,/ 60 m2,Merkezi (Pay Ölçer),15,Residence,Beşiktaş,12. Kat
70.000.000,4 + 1,3,/ 280 m2,Merkezi (Pay Ölçer),15,Residence,Beşiktaş,21 ve üzeri
99.000.000,2 + 1,2,/ 150 m2,Merkezi (Pay Ölçer),7,Residence,Beşiktaş,10. Kat
12.000.000,1 + 1,1,/ 70 m2,Merkezi (Pay Ölçer),10,Residence,Beşiktaş,3. Kat
44.000.000,4 + 1,2,/ 245 m2,Merkezi (Pay Ölçer),8,Daire,Beşiktaş,15. Kat
2.399.000,1 + 0,1,/ 97 m2,Kombi,4,Daire,Esenyurt,Ara Kat
2.650.000,3 + 1,1,/ 126 m2,Kombi,2,Daire,Esenyurt,Yüksek Giriş
4.650.000,3 + 1,2,/ 110 m2,Kombi,8,Daire,Büyükçekmece,Yüksek Giriş
6.750.000,1,N/A,N/A,Doğalgaz,Kombi,Daire,Avcılar,3 Yaşında
17.500.000,4,N/A,N/A,Kat Mülkiyeti,Uygun,Villa,Başakşehir,Kombi
13.750.000,4 + 2,3,/ 230 m2,Kombi,5,Daire,Büyükçekmece,5. Kat
10.000.000,7 + 3,3,/ 280 m2,Doğalgaz,Kombi,Müstakil Ev,Beykoz,35 Yaşında
31.500.000,2 + 1,1,/ 90 m2,Doğalgaz,Kombi,Müstakil Ev,Beykoz,10 Yaşında
6.490.000,1,N/A,N/A,Uygun değil,Kombi,Daire,Bakırköy,26 Yaşında
2.475.000,1,N/A,N/A,Uygun,Kombi,Daire,Esenyurt,10 Yaşında
3.950.000,2 + 2,2,/ 80 m2,Kombi,5,Daire,Kağıthane,Yüksek Giriş
1.650.000,2 + 1,1,/ 80 m2,Kombi,25,Daire,Kağıthane,Kot 2
2.395.000,1,N/A,N/A,Uygun,Kombi,Daire,Esenyurt,5 Yaşında
7.500.000,2 + 1,1,/ 114 m2,Kömür-Odun,Soba,Bina,Büyükçekmece,29 Yaşında
