price,toilet_count,heating_type,building_age,building_type,neighborhood,floor,bedrooms,living_rooms,size
2400000.0,2.0,Doğalgaz,9.0,Daire,Büyükçekmece,3.0,1,0,105.0
8950000.0,1.0,Kombi,19.0,Daire,Üsküdar,1.0,4,1,165.0
5100000.0,2.0,Doğalgaz,9.0,Daire,Üsküdar,3.0,1,0,105.0
17000000.0,2.0,Merkezi (Pay Ölçer),9.0,Residence,Şişli,9.0,2,1,80.0
17500000.0,2.0,Merkezi (Pay Ölçer),1.0,Residence,Şişli,8.0,2,1,80.0
8000000.0,1.0,Kombi,5.0,Daire,Şişli,2.0,2,1,80.0
81500000.0,2.0,Merkezi (Pay Ölçer),4.0,Residence,Beşiktaş,12.0,2,1,120.0
32000000.0,2.0,Merkezi (Pay Ölçer),9.0,Residence,Şişli,4.0,2,1,100.0
17000000.0,1.0,Merkezi (Pay Ölçer),9.0,Residence,Şişli,3.0,1,1,60.0
23000000.0,2.0,Merkezi (Pay Ölçer),2.0,Residence,Şişli,3.0,2,1,110.0
21250000.0,2.0,Merkezi (Pay Ölçer),3.0,Residence,Şişli,9.0,2,1,80.0
26000000.0,2.0,Merkezi (Pay Ölçer),2.0,Residence,Şişli,3.0,2,1,85.0
54000000.0,3.0,Merkezi (Pay Ölçer),9.0,Residence,Beşiktaş,6.0,3,1,212.0
68000000.0,3.0,Merkezi (Pay Ölçer),15.0,Residence,Beşiktaş,3.0,4,1,280.0
85000000.0,2.0,Merkezi (Pay Ölçer),6.0,Residence,Beşiktaş,3.0,2,1,130.0
115000000.0,4.0,Merkezi (Pay Ölçer),10.0,Daire,Beşiktaş,18.0,4,1,370.0
165000000.0,3.0,Merkezi (Pay Ölçer),6.0,Residence,Beşiktaş,9.0,3,1,230.0
160000000.0,4.0,Merkezi (Pay Ölçer),5.0,Residence,Beşiktaş,5.0,4,1,223.0
8500000.0,2.0,Kombi,9.0,Daire,Maltepe,4.0,4,1,120.0
3650000.0,1.0,Kombi,28.0,Daire,Maltepe,11.0,3,1,110.0
12250000.0,1.0,Kombi,6.0,Daire,Maltepe,4.0,3,1,115.0
6950000.0,1.0,Kombi,6.0,Daire,Maltepe,4.0,2,1,80.0
85000000.0,2.0,Elektrik,9.0,Daire,Beşiktaş,3.0,2,0,105.0
99000000.0,2.0,Merkezi (Pay Ölçer),3.0,Residence,Beşiktaş,15.0,2,1,165.0
55000000.0,3.0,Merkezi (Pay Ölçer),8.0,Residence,Beşiktaş,15.0,4,1,230.0
13500000.0,1.0,Merkezi (Pay Ölçer),4.0,Residence,Beşiktaş,17.0,1,1,80.0
16500000.0,1.0,Merkezi (Pay Ölçer),10.0,Residence,Şişli,12.0,1,1,100.0
22000000.0,2.0,Merkezi,2.0,Daire,Şişli,20.0,1,1,120.0
